GEOID20,DISTRICT
26163163934,12
26163163024,6
26163163798,6
26163163082,12
26163163219,12
26163163091,12
26163163271,12
26163163106,12
26163163950,12
26163163616,12
26163163293,12
26163163751,12
26163163027,6
26163163100,12
26163163069,6
26163163034,6
26163163225,13
26163163892,13
26163163700,13
26163163623,13
26163163351,13
26163163886,13
26163163077,12
26163163894,13
26163163983,13
26163163064,6
26163163901,13
26163163748,12
26163163327,13
26163163806,6
26163163924,6
26163163917,6
26163163911,6
26163163775,12
26163163087,12
26163163943,12
26163163109,12
26163163956,12
26163163195,12
26163163651,13
26163163520,13
26163163800,6
26163163352,13
26163163405,13
26163163721,12
26163163208,12
26163163869,13
26163163710,13
26163163487,13
26163163646,13
26163163870,13
26163163928,13
26163163664,12
26163163900,13
26163163361,13
26163163546,13
26163163086,12
26163163963,12
26163163938,12
26163163669,6
26163163552,13
26163163842,12
26163163523,13
26163163883,6
26163163006,13
26163163837,12
26163163858,13
26163163307,13
26163163931,13
26163163102,12
26163163968,12
26163163827,12
26163163126,12
26163163032,6
26163163919,6
26163163764,12
26163163554,13
26163163663,12
26163163326,13
26163163198,12
26163163855,6
26163163344,13
26163163871,13
26163163291,12
26163163925,6
26163163070,6
26163163582,12
26163163489,13
26163163619,12
26163163458,13
26163163690,13
26163163839,12
26163163960,12
26163163048,6
26163163360,13
26163163927,13
26163163342,13
26163163145,13
26163163261,13
26135135004,1
26135135001,1
26135135005,1
26135135006,1
26135135003,1
26135135002,1
26135135007,1
26163163890,13
26163163895,13
26163163737,13
26163163186,12
26163163564,13
26163163773,12
26163163922,6
26081000002,2
26049000017,8
26057057004,2
26057057006,2
26057057005,2
26057057015,2
26057057017,2
26057057007,2
26057057019,2
26149149015,5
26149149024,5
26149149003,5
26149149016,5
26149149017,5
26149149023,5
26149149025,5
26149149002,5
26149149008,5
26149149009,5
26149149001,5
26149149026,5
26149149007,5
26149149018,5
26149149005,5
26149149014,5
26149149020,5
26149149019,5
26149149004,5
26149149006,5
26149149021,5
26149149010,5
26149149022,5
26107107002,2
26107107013,2
26107107017,2
26107107003,2
26107107010,2
26107107014,2
26107107008,2
26107107019,2
26107107005,2
26107107018,2
26057057018,2
26057057020,2
26145145025,8
26145145047,8
26145145085,8
26145145026,8
26145145056,8
26145145030,8
26145145010,8
26145145075,8
26163163096,12
26163163841,12
26163163183,12
26163163825,12
26163163531,13
26163163804,6
26163163154,12
26163163060,6
26163163667,6
26163163603,12
26163163270,12
26163163005,13
26163163608,12
26163163864,13
26163163412,13
26163163469,13
26163163937,12
26163163204,12
26163163408,13
26163163570,13
26163163650,13
26163163224,13
26163163031,6
26163163141,13
26163163661,12
26163163093,12
26163163313,13
26159159033,4
26159159025,4
26159159003,4
26159159028,4
26159159004,4
26159159021,4
26159159017,4
26057057003,2
26057057013,2
26057057010,2
26057057009,2
26057057002,2
26057057012,2
26057057011,2
26163163388,13
26163163988,13
26163163687,13
26163163958,12
26163163397,13
26163163135,12
26163163144,13
26163163256,12
26163163350,13
26163163904,13
26163163163,12
26163163803,6
26163163187,12
26163163906,13
26163163019,6
26163163524,13
26163163600,12
26163163467,13
26163163120,12
26163163131,12
26163163002,13
26163163079,12
26163163111,12
26163163967,12
26163163725,12
26163163127,12
