GEOID20,total_pop,total_pop_log,turnout2018_registered,2020_vote_share_diff,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_pct_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_owner_occupied_house,c_perc_hs_grad,c_perc_uni_grad,total2020_voted,turnout2020_registered,pop_white_alone,c_tot_hs_grad,tot_turnout2018,tot_urban_pop,predicted_turnout
26049049039,2051,7.62608275807238,0.6627508854781584,136.9000000000001,0.9434422233057044,0.0565577766942954,0.0068259385665529,0.9185763042418332,0.0102389078498293,0.0039005363237445,0.0063383715260848,0.0,0.8257779656638249,-0.0036432730615997,0.0830327919092859,0.4629,0.6115086587966093,0.2736389274619558,0.2120452951197514,1363,0.8046044864226682,1884,76458,1122.7000000000005,351608,0.7705830886647054
26015015019,3039,8.019283792916793,0.5869116987897803,763.0999999999999,0.9493254359986838,0.0506745640013162,0.0049358341559723,0.9170779861796644,0.0111878907535373,0.0036196117143797,0.004277722935176,0.0,0.0,0.0079781962338949,0.1052857614800132,0.4094,0.7358442688320163,0.3236300965601907,0.210685364874755,1935,0.867324069923801,2787,13708,1309.4,0,0.8272711068234562
26017017007,2365,7.768533300926033,0.6284096757591353,71.0,0.961522198731501,0.0384778012684989,0.000845665961945,0.9255813953488372,0.0076109936575052,0.0038054968287526,0.013953488372093,0.0,0.6968850618440954,-0.0065511411665257,0.0839641128102666,0.4349,0.7048603201557291,0.3041183248037298,0.1930950403258219,1493,0.768399382398353,2189,22700,1221.0,75104,0.7768521105475584
26017017015,3654,8.203577736937952,0.5058869701726845,46.0,0.9230979748221128,0.0769020251778872,0.003831417624521,0.8806787082649151,0.0202517788724685,0.00519978106185,0.0062944718117131,0.0,0.6968850618440954,-0.0065511411665257,0.0839641128102666,0.4349,0.7048603201557291,0.3041183248037298,0.1930950403258219,1686,0.6616954474097331,3218,22700,1289.0,75104,0.7208732680945055
26023023015,1427,7.263329617476836,0.540675105485232,380.5,0.9684653118430272,0.0315346881569726,0.0007007708479327,0.9530483531885072,0.0,0.0014015416958654,0.0091100210231254,0.0,0.0,-0.0016316962746765,0.1078068623170087,0.4143,0.5927382608278574,0.3433067229662862,0.144058850696048,831,0.7012658227848101,1360,10407,640.6999999999999,0,0.7220159433958862
26025025053,2781,7.930565854233965,0.5731818181818182,667.8,0.9561308881697232,0.0438691118302768,0.0014383315354189,0.9093851132686084,0.0172599784250269,0.0053937432578209,0.0176195613088816,0.0,0.5679564585077784,-0.0019446845289541,0.1051694334336721,0.4437,0.6198656571794577,0.3099838704368149,0.2103975333838068,1689,0.7677272727272727,2529,28251,1261.0,77325,0.8013467126930994
26049049041,974,6.881411303642535,1.284237726098191,95.10000000000002,0.931211498973306,0.068788501026694,0.0051334702258726,0.8983572895277208,0.0123203285420944,0.002053388090349,0.015400410677618,0.0,0.8257779656638249,-0.0036432730615997,0.0830327919092859,0.4629,0.6115086587966093,0.2736389274619558,0.2120452951197514,539,0.6963824289405685,875,76458,994.0,351608,0.7020543681149001
26049049066,449,6.107022887742255,0.3412008281573499,210.3,0.930957683741648,0.0690423162583518,0.0178173719376391,0.0734966592427616,0.8329621380846325,0.0,0.0044543429844097,0.0,0.8257779656638249,-0.0036432730615997,0.0830327919092859,0.4629,0.6115086587966093,0.2736389274619558,0.2120452951197514,192,0.3975155279503105,33,76458,164.8,351608,0.5180299590281872
26049049074,1248,7.129297548929373,0.3795328142380422,83.50000000000003,0.8862179487179487,0.1137820512820512,0.0136217948717948,0.6666666666666666,0.1650641025641025,0.0128205128205128,0.0032051282051282,0.000801282051282,0.8257779656638249,-0.0036432730615997,0.0830327919092859,0.4629,0.6115086587966093,0.2736389274619558,0.2120452951197514,376,0.4182424916573971,832,76458,341.2,351608,0.5577981314754549
26049049117,2430,7.795646536334594,0.5542590431738623,1009.4,0.9530864197530864,0.0469135802469135,0.0045267489711934,0.1411522633744856,0.7921810699588477,0.0028806584362139,0.0082304526748971,0.0004115226337448,0.8257779656638249,-0.0036432730615997,0.0830327919092859,0.4629,0.6115086587966093,0.2736389274619558,0.2120452951197514,1106,0.6452742123687282,343,76458,950.0,351608,0.5497937970202573
