"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US26007000500","Census Tract 5, Alpena County, Michigan","1895","140"
"1400000US26007000600","Census Tract 6, Alpena County, Michigan","3050","345"
"1400000US26007000700","Census Tract 7, Alpena County, Michigan","2950","289"
"1400000US26007000800","Census Tract 8, Alpena County, Michigan","3079","203"
"1400000US26007000900","Census Tract 9, Alpena County, Michigan","2656","237"
"1400000US26007990000","Census Tract 9900, Alpena County, Michigan","0","10"
"1400000US26009960100","Census Tract 9601, Antrim County, Michigan","2659","155"
"1400000US26009960200","Census Tract 9602, Antrim County, Michigan","3110","181"
"1400000US26009960300","Census Tract 9603, Antrim County, Michigan","2731","182"
"1400000US26009960400","Census Tract 9604, Antrim County, Michigan","3114","221"
"1400000US26009960500","Census Tract 9605, Antrim County, Michigan","3410","218"
"1400000US26009960600","Census Tract 9606, Antrim County, Michigan","3212","105"
"1400000US26009960700","Census Tract 9607, Antrim County, Michigan","4970","144"
"1400000US26009990000","Census Tract 9900, Antrim County, Michigan","0","10"
"1400000US26011970100","Census Tract 9701, Arenac County, Michigan","2222","134"
"1400000US26011970200","Census Tract 9702, Arenac County, Michigan","3261","143"
"1400000US26011970300","Census Tract 9703, Arenac County, Michigan","2758","154"
"1400000US26011970400","Census Tract 9704, Arenac County, Michigan","2761","145"
"1400000US26011970500","Census Tract 9705, Arenac County, Michigan","4068","199"
"1400000US26011990000","Census Tract 9900, Arenac County, Michigan","0","10"
"1400000US26011990100","Census Tract 9901, Arenac County, Michigan","0","10"
"1400000US26013000100","Census Tract 1, Baraga County, Michigan","4135","93"
"1400000US26013000200","Census Tract 2, Baraga County, Michigan","4286","93"
"1400000US26013990100","Census Tract 9901, Baraga County, Michigan","0","10"
"1400000US26015010100","Census Tract 101, Barry County, Michigan","6233","241"
"1400000US26015010200","Census Tract 102, Barry County, Michigan","5518","221"
"1400000US26015010300","Census Tract 103, Barry County, Michigan","8161","18"
"1400000US26015010401","Census Tract 104.01, Barry County, Michigan","3401","24"
"1400000US26015010402","Census Tract 104.02, Barry County, Michigan","4294","28"
"1400000US26015010500","Census Tract 105, Barry County, Michigan","3480","26"
"1400000US26015010600","Census Tract 106, Barry County, Michigan","6736","30"
"1400000US26015010700","Census Tract 107, Barry County, Michigan","5082","204"
"1400000US26015010800","Census Tract 108, Barry County, Michigan","3286","190"
"1400000US26015011300","Census Tract 113, Barry County, Michigan","7999","393"
"1400000US26015011400","Census Tract 114, Barry County, Michigan","6350","393"
"1400000US26017280300","Census Tract 2803, Bay County, Michigan","1338","198"
"1400000US26017280400","Census Tract 2804, Bay County, Michigan","2555","296"
"1400000US26017280500","Census Tract 2805, Bay County, Michigan","3196","197"
"1400000US26017280600","Census Tract 2806, Bay County, Michigan","2683","239"
"1400000US26017280700","Census Tract 2807, Bay County, Michigan","3145","395"
"1400000US26017280800","Census Tract 2808, Bay County, Michigan","3420","281"
"1400000US26017280900","Census Tract 2809, Bay County, Michigan","2909","273"
"1400000US26017281000","Census Tract 2810, Bay County, Michigan","3908","264"
"1400000US26017281300","Census Tract 2813, Bay County, Michigan","2823","220"
"1400000US26017285100","Census Tract 2851, Bay County, Michigan","3325","17"
"1400000US26017285201","Census Tract 2852.01, Bay County, Michigan","5480","217"
"1400000US26017285202","Census Tract 2852.02, Bay County, Michigan","3965","216"
"1400000US26017285300","Census Tract 2853, Bay County, Michigan","4497","135"
"1400000US26017285400","Census Tract 2854, Bay County, Michigan","3507","17"
"1400000US26017285500","Census Tract 2855, Bay County, Michigan","6948","238"
"1400000US26017285600","Census Tract 2856, Bay County, Michigan","7144","280"
"1400000US26017285700","Census Tract 2857, Bay County, Michigan","3555","234"
"1400000US26017285800","Census Tract 2858, Bay County, Michigan","6324","332"
"1400000US26017285900","Census Tract 2859, Bay County, Michigan","5066","274"
"1400000US26017286000","Census Tract 2860, Bay County, Michigan","2692","259"
"1400000US26017286100","Census Tract 2861, Bay County, Michigan","7495","19"
"1400000US26017286200","Census Tract 2862, Bay County, Michigan","4874","214"
"1400000US26017286300","Census Tract 2863, Bay County, Michigan","3632","172"
"1400000US26017286400","Census Tract 2864, Bay County, Michigan","2433","140"
"1400000US26017286500","Census Tract 2865, Bay County, Michigan","1808","243"
"1400000US26017286600","Census Tract 2866, Bay County, Michigan","5382","654"
"1400000US26017990000","Census Tract 9900, Bay County, Michigan","0","10"
"1400000US26019000100","Census Tract 1, Benzie County, Michigan","7600","296"
"1400000US26019000200","Census Tract 2, Benzie County, Michigan","3219","277"
"1400000US26019000300","Census Tract 3, Benzie County, Michigan","1810","163"
"1400000US26019000400","Census Tract 4, Benzie County, Michigan","1995","190"
"1400000US26019000500","Census Tract 5, Benzie County, Michigan","2991","214"
"1400000US26019990000","Census Tract 9900, Benzie County, Michigan","0","10"
"1400000US26021000300","Census Tract 3, Berrien County, Michigan","1958","353"
"1400000US26021000400","Census Tract 4, Berrien County, Michigan","2529","329"
"1400000US26021000500","Census Tract 5, Berrien County, Michigan","1704","349"
"1400000US26021000600","Census Tract 6, Berrien County, Michigan","3261","351"
"1400000US26021000700","Census Tract 7, Berrien County, Michigan","2819","198"
"1400000US26021000800","Census Tract 8, Berrien County, Michigan","5208","252"
"1400000US26021000900","Census Tract 9, Berrien County, Michigan","2049","194"
"1400000US26021001000","Census Tract 10, Berrien County, Michigan","1831","148"
"1400000US26021001100","Census Tract 11, Berrien County, Michigan","4050","182"
"1400000US26021001300","Census Tract 13, Berrien County, Michigan","2148","161"
"1400000US26021001400","Census Tract 14, Berrien County, Michigan","4521","262"
"1400000US26021001500","Census Tract 15, Berrien County, Michigan","3226","295"
"1400000US26021001600","Census Tract 16, Berrien County, Michigan","2132","170"
"1400000US26021001700","Census Tract 17, Berrien County, Michigan","4683","184"
"1400000US26021001800","Census Tract 18, Berrien County, Michigan","4766","18"
"1400000US26021001900","Census Tract 19, Berrien County, Michigan","1952","157"
"1400000US26021002000","Census Tract 20, Berrien County, Michigan","3419","301"
"1400000US26021002100","Census Tract 21, Berrien County, Michigan","2111","304"
"1400000US26021002200","Census Tract 22, Berrien County, Michigan","3088","347"
"1400000US26021002300","Census Tract 23, Berrien County, Michigan","1920","228"
"1400000US26021002400","Census Tract 24, Berrien County, Michigan","1951","260"
"1400000US26021002500","Census Tract 25, Berrien County, Michigan","2286","193"
"1400000US26021010100","Census Tract 101, Berrien County, Michigan","3575","27"
"1400000US26021010200","Census Tract 102, Berrien County, Michigan","6550","271"
"1400000US26021010300","Census Tract 103, Berrien County, Michigan","4642","270"
"1400000US26021010400","Census Tract 104, Berrien County, Michigan","2812","23"
"1400000US26021010500","Census Tract 105, Berrien County, Michigan","2246","160"
"1400000US26021010600","Census Tract 106, Berrien County, Michigan","5043","39"
