"Label (Grouping)","Allegan County, Michigan!!Estimate","Allegan County, Michigan!!Margin of Error","Allegan County, Michigan!!Percent","Allegan County, Michigan!!Percent Margin of Error","Bay County, Michigan!!Estimate","Bay County, Michigan!!Margin of Error","Bay County, Michigan!!Percent","Bay County, Michigan!!Percent Margin of Error","Berrien County, Michigan!!Estimate","Berrien County, Michigan!!Margin of Error","Berrien County, Michigan!!Percent","Berrien County, Michigan!!Percent Margin of Error","Calhoun County, Michigan!!Estimate","Calhoun County, Michigan!!Margin of Error","Calhoun County, Michigan!!Percent","Calhoun County, Michigan!!Percent Margin of Error","Clinton County, Michigan!!Estimate","Clinton County, Michigan!!Margin of Error","Clinton County, Michigan!!Percent","Clinton County, Michigan!!Percent Margin of Error","Eaton County, Michigan!!Estimate","Eaton County, Michigan!!Margin of Error","Eaton County, Michigan!!Percent","Eaton County, Michigan!!Percent Margin of Error","Genesee County, Michigan!!Estimate","Genesee County, Michigan!!Margin of Error","Genesee County, Michigan!!Percent","Genesee County, Michigan!!Percent Margin of Error","Grand Traverse County, Michigan!!Estimate","Grand Traverse County, Michigan!!Margin of Error","Grand Traverse County, Michigan!!Percent","Grand Traverse County, Michigan!!Percent Margin of Error","Ingham County, Michigan!!Estimate","Ingham County, Michigan!!Margin of Error","Ingham County, Michigan!!Percent","Ingham County, Michigan!!Percent Margin of Error","Isabella County, Michigan!!Estimate","Isabella County, Michigan!!Margin of Error","Isabella County, Michigan!!Percent","Isabella County, Michigan!!Percent Margin of Error","Jackson County, Michigan!!Estimate","Jackson County, Michigan!!Margin of Error","Jackson County, Michigan!!Percent","Jackson County, Michigan!!Percent Margin of Error","Kalamazoo County, Michigan!!Estimate","Kalamazoo County, Michigan!!Margin of Error","Kalamazoo County, Michigan!!Percent","Kalamazoo County, Michigan!!Percent Margin of Error","Kent County, Michigan!!Estimate","Kent County, Michigan!!Margin of Error","Kent County, Michigan!!Percent","Kent County, Michigan!!Percent Margin of Error","Lapeer County, Michigan!!Estimate","Lapeer County, Michigan!!Margin of Error","Lapeer County, Michigan!!Percent","Lapeer County, Michigan!!Percent Margin of Error","Lenawee County, Michigan!!Estimate","Lenawee County, Michigan!!Margin of Error","Lenawee County, Michigan!!Percent","Lenawee County, Michigan!!Percent Margin of Error","Livingston County, Michigan!!Estimate","Livingston County, Michigan!!Margin of Error","Livingston County, Michigan!!Percent","Livingston County, Michigan!!Percent Margin of Error","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Macomb County, Michigan!!Percent","Macomb County, Michigan!!Percent Margin of Error","Marquette County, Michigan!!Estimate","Marquette County, Michigan!!Margin of Error","Marquette County, Michigan!!Percent","Marquette County, Michigan!!Percent Margin of Error","Midland County, Michigan!!Estimate","Midland County, Michigan!!Margin of Error","Midland County, Michigan!!Percent","Midland County, Michigan!!Percent Margin of Error","Monroe County, Michigan!!Estimate","Monroe County, Michigan!!Margin of Error","Monroe County, Michigan!!Percent","Monroe County, Michigan!!Percent Margin of Error","Muskegon County, Michigan!!Estimate","Muskegon County, Michigan!!Margin of Error","Muskegon County, Michigan!!Percent","Muskegon County, Michigan!!Percent Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Oakland County, Michigan!!Percent","Oakland County, Michigan!!Percent Margin of Error","Ottawa County, Michigan!!Estimate","Ottawa County, Michigan!!Margin of Error","Ottawa County, Michigan!!Percent","Ottawa County, Michigan!!Percent Margin of Error","Saginaw County, Michigan!!Estimate","Saginaw County, Michigan!!Margin of Error","Saginaw County, Michigan!!Percent","Saginaw County, Michigan!!Percent Margin of Error","St. Clair County, Michigan!!Estimate","St. Clair County, Michigan!!Margin of Error","St. Clair County, Michigan!!Percent","St. Clair County, Michigan!!Percent Margin of Error","Shiawassee County, Michigan!!Estimate","Shiawassee County, Michigan!!Margin of Error","Shiawassee County, Michigan!!Percent","Shiawassee County, Michigan!!Percent Margin of Error","Van Buren County, Michigan!!Estimate","Van Buren County, Michigan!!Margin of Error","Van Buren County, Michigan!!Percent","Van Buren County, Michigan!!Percent Margin of Error","Washtenaw County, Michigan!!Estimate","Washtenaw County, Michigan!!Margin of Error","Washtenaw County, Michigan!!Percent","Washtenaw County, Michigan!!Percent Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wayne County, Michigan!!Percent","Wayne County, Michigan!!Percent Margin of Error"
"        Built 2000 to 2009","8,404","±1,415","16.2%","±2.7","3,091","±715","6.4%","±1.5","7,357","±1,191","9.4%","±1.5","4,246","±854","7.0%","±1.4","5,953","±725","18.5%","±2.3","4,759","±780","10.0%","±1.6","17,585","±2,045","9.1%","±1.1","8,514","±1,563","18.9%","±3.4","10,652","±1,594","8.6%","±1.3","4,497","±911","15.3%","±3.1","7,075","±1,113","10.1%","±1.6","13,917","±1,805","12.3%","±1.6","26,296","±2,382","10.1%","±0.9","4,927","±824","13.3%","±2.2","3,268","±705","7.4%","±1.6","14,687","±1,365","18.9%","±1.8","40,021","±3,018","10.8%","±0.8","2,223","±613","6.4%","±1.7","3,209","±787","8.6%","±2.1","8,824","±1,201","13.5%","±1.8","7,279","±1,309","9.8%","±1.8","45,232","±3,038","8.3%","±0.6","15,994","±1,610","14.3%","±1.4","5,701","±1,088","6.5%","±1.2","7,418","±999","10.2%","±1.4","3,001","±766","9.9%","±2.5","4,415","±855","11.8%","±2.3","19,405","±1,970","12.7%","±1.3","46,608","±3,148","5.7%","±0.4"
"        Built 1990 to 1999","7,989","±1,109","15.4%","±2.1","3,417","±751","7.1%","±1.6","7,620","±1,309","9.8%","±1.7","7,749","±1,390","12.7%","±2.2","5,235","±821","16.3%","±2.5","7,229","±1,184","15.1%","±2.5","20,974","±2,041","10.9%","±1.1","8,663","±1,397","19.2%","±3.1","13,858","±1,615","11.1%","±1.3","6,203","±952","21.2%","±3.3","6,794","±1,165","9.7%","±1.7","13,142","±1,652","11.6%","±1.5","40,140","±3,419","15.5%","±1.3","7,217","±953","19.5%","±2.6","6,869","±1,295","15.6%","±2.9","17,654","±1,273","22.7%","±1.6","53,587","±2,699","14.5%","±0.7","3,393","±782","9.7%","±2.2","7,200","±965","19.4%","±2.6","10,439","±1,619","16.0%","±2.5","9,196","±1,251","12.3%","±1.7","76,777","±3,817","14.1%","±0.7","20,662","±1,959","18.4%","±1.7","9,393","±1,700","10.7%","±1.9","12,510","±1,482","17.2%","±2.0","4,265","±1,017","14.1%","±3.3","6,570","±1,124","17.5%","±3.0","24,460","±1,838","16.1%","±1.2","49,641","±3,017","6.1%","±0.4"
"        Built 1980 to 1989","6,643","±991","12.8%","±1.9","3,331","±734","6.9%","±1.5","7,355","±1,369","9.4%","±1.8","3,796","±862","6.2%","±1.4","2,903","±623","9.0%","±1.9","5,154","±940","10.8%","±2.0","12,555","±1,847","6.5%","±1.0","4,891","±1,144","10.8%","±2.5","11,867","±1,397","9.5%","±1.1","4,129","±834","14.1%","±2.9","5,682","±1,195","8.1%","±1.7","11,741","±1,452","10.4%","±1.3","28,909","±2,982","11.1%","±1.2","3,994","±789","10.8%","±2.1","2,836","±676","6.4%","±1.5","10,287","±1,173","13.2%","±1.5","45,178","±2,933","12.2%","±0.8","3,078","±694","8.8%","±2.0","3,515","±748","9.4%","±2.0","4,231","±928","6.5%","±1.4","5,637","±1,075","7.6%","±1.4","66,433","±3,989","12.2%","±0.7","14,990","±1,781","13.4%","±1.6","5,879","±1,013","6.7%","±1.1","7,889","±947","10.9%","±1.3","2,309","±548","7.6%","±1.8","4,197","±838","11.2%","±2.2","16,628","±1,722","10.9%","±1.1","39,954","±2,569","4.9%","±0.3"
"        Built 1970 to 1979","7,157","±1,362","13.8%","±2.6","7,768","±1,184","16.1%","±2.4","10,403","±1,265","13.4%","±1.6","7,524","±1,170","12.4%","±1.9","4,110","±786","12.8%","±2.4","9,268","±1,037","19.4%","±2.1","33,895","±2,822","17.6%","±1.5","7,164","±1,253","15.9%","±2.8","19,244","±1,815","15.5%","±1.5","4,633","±820","15.8%","±2.8","7,078","±1,347","10.1%","±1.9","18,337","±2,089","16.2%","±1.8","33,479","±3,195","12.9%","±1.2","7,129","±1,019","19.3%","±2.7","6,856","±1,031","15.6%","±2.3","14,768","±1,438","19.0%","±1.8","60,994","±3,433","16.5%","±0.9","7,021","±1,085","20.1%","±3.1","7,630","±859","20.5%","±2.3","9,553","±1,623","14.6%","±2.5","10,963","±1,530","14.7%","±2.1","103,691","±3,802","19.0%","±0.7","12,848","±1,772","11.5%","±1.6","16,752","±1,888","19.0%","±2.1","10,424","±1,483","14.4%","±2.0","5,191","±938","17.1%","±3.1","5,099","±1,003","13.6%","±2.7","25,249","±2,312","16.6%","±1.5","85,834","±4,331","10.5%","±0.5"
"        Built 1960 to 1969","3,058","±668","5.9%","±1.3","6,573","±1,204","13.6%","±2.5","11,144","±1,366","14.3%","±1.8","6,082","±1,067","10.0%","±1.8","2,613","±595","8.1%","±1.9","6,897","±1,232","14.4%","±2.6","33,114","±2,623","17.2%","±1.4","2,224","±678","4.9%","±1.5","17,833","±1,889","14.3%","±1.5","2,206","±489","7.5%","±1.7","8,754","±1,260","12.5%","±1.8","12,212","±1,866","10.8%","±1.7","21,898","±2,115","8.4%","±0.8","2,854","±611","7.7%","±1.6","5,474","±977","12.4%","±2.2","4,378","±976","5.6%","±1.3","62,075","±3,509","16.8%","±0.9","5,780","±1,019","16.5%","±2.9","5,140","±754","13.8%","±2.0","5,996","±1,099","9.2%","±1.7","8,152","±1,321","10.9%","±1.8","72,929","±3,690","13.4%","±0.7","10,636","±1,419","9.5%","±1.3","11,564","±1,409","13.1%","±1.6","6,149","±991","8.5%","±1.4","2,572","±749","8.5%","±2.5","4,133","±1,037","11.0%","±2.8","20,931","±2,041","13.7%","±1.3","93,184","±4,696","11.4%","±0.6"
"        Built 1950 to 1959","2,886","±646","5.6%","±1.2","6,547","±1,072","13.5%","±2.2","11,963","±1,353","15.4%","±1.7","10,733","±1,340","17.6%","±2.2","2,881","±767","9.0%","±2.4","3,193","±651","6.7%","±1.4","34,927","±2,496","18.1%","±1.3","3,275","±865","7.3%","±1.9","18,471","±1,848","14.9%","±1.5","1,989","±534","6.8%","±1.8","11,428","±1,593","16.4%","±2.3","14,125","±1,635","12.5%","±1.4","31,566","±2,792","12.2%","±1.1","2,046","±569","5.5%","±1.5","4,635","±804","10.5%","±1.8","3,573","±705","4.6%","±0.9","60,206","±3,112","16.3%","±0.8","4,230","±839","12.1%","±2.4","4,639","±929","12.5%","±2.5","9,124","±1,226","14.0%","±1.9","11,108","±1,381","14.9%","±1.9","84,083","±3,832","15.4%","±0.7","9,225","±1,575","8.2%","±1.4","15,617","±1,647","17.7%","±1.9","9,830","±1,265","13.5%","±1.7","3,221","±606","10.6%","±2.0","3,795","±792","10.1%","±2.1","12,664","±1,613","8.3%","±1.1","196,994","±5,689","24.2%","±0.7"
"        Built 1940 to 1949","1,770","±658","3.4%","±1.3","5,051","±1,092","10.4%","±2.3","6,203","±1,099","8.0%","±1.4","3,968","±941","6.5%","±1.5","707","±247","2.2%","±0.8","2,113","±866","4.4%","±1.8","11,060","±1,751","5.7%","±0.9","979","±538","2.2%","±1.2","8,013","±1,365","6.4%","±1.1","1,053","±319","3.6%","±1.1","4,814","±975","6.9%","±1.4","6,860","±1,165","6.1%","±1.0","14,276","±1,689","5.5%","±0.7","2,566","±988","6.9%","±2.7","3,231","±975","7.3%","±2.2","1,687","±574","2.2%","±0.7","14,701","±2,083","4.0%","±0.6","1,286","±306","3.7%","±0.9","1,160","±436","3.1%","±1.2","4,745","±971","7.3%","±1.5","8,233","±1,352","11.1%","±1.8","30,552","±2,511","5.6%","±0.5","3,644","±926","3.3%","±0.8","6,411","±1,286","7.3%","±1.5","4,626","±834","6.4%","±1.2","2,011","±654","6.6%","±2.2","1,961","±555","5.2%","±1.5","5,460","±905","3.6%","±0.6","123,032","±5,312","15.1%","±0.6"
"        Built 1939 or earlier","10,243","±1,672","19.7%","±3.2","11,615","±1,260","24.0%","±2.6","13,744","±1,634","17.6%","±2.1","15,313","±1,295","25.1%","±2.1","5,757","±790","17.9%","±2.5","7,681","±953","16.1%","±2.0","26,146","±2,171","13.6%","±1.1","4,727","±1,038","10.5%","±2.3","19,291","±1,825","15.5%","±1.5","3,393","±613","11.6%","±2.1","16,629","±1,732","23.8%","±2.5","17,370","±1,973","15.4%","±1.7","45,261","±3,087","17.4%","±1.2","4,930","±943","13.3%","±2.6","9,715","±1,227","22.1%","±2.8","5,571","±1,033","7.2%","±1.3","15,897","±1,769","4.3%","±0.5","6,906","±1,050","19.8%","±3.0","2,962","±671","8.0%","±1.8","10,124","±1,282","15.5%","±2.0","11,738","±1,395","15.8%","±1.9","40,903","±3,105","7.5%","±0.6","12,072","±1,468","10.8%","±1.3","14,995","±1,366","17.0%","±1.6","12,365","±1,274","17.0%","±1.8","6,918","±990","22.9%","±3.3","6,101","±975","16.2%","±2.6","19,424","±1,833","12.8%","±1.2","164,065","±5,216","20.1%","±0.6"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","51,989","±252","51,989","(X)","48,365","±257","48,365","(X)","77,902","±508","77,902","(X)","60,915","±655","60,915","(X)","32,170","±204","32,170","(X)","47,812","±373","47,812","(X)","192,921","±566","192,921","(X)","45,119","±279","45,119","(X)","124,347","±723","124,347","(X)","29,304","±302","29,304","(X)","69,818","±514","69,818","(X)","113,062","±664","113,062","(X)","259,379","±628","259,379","(X)","36,980","±226","36,980","(X)","43,971","±325","43,971","(X)","77,734","±262","77,734","(X)","369,436","±459","369,436","(X)","34,967","±343","34,967","(X)","37,202","±252","37,202","(X)","65,256","±280","65,256","(X)","74,496","±535","74,496","(X)","544,682","±470","544,682","(X)","112,002","±571","112,002","(X)","88,021","±605","88,021","(X)","72,581","±420","72,581","(X)","30,269","±177","30,269","(X)","37,549","±330","37,549","(X)","152,272","±1,078","152,272","(X)","815,538","±893","815,538","(X)"
"        1 room","406","±396","0.8%","±0.8","508","±409","1.1%","±0.8","1,411","±797","1.8%","±1.0","321","±306","0.5%","±0.5","87","±137","0.3%","±0.4","628","±403","1.3%","±0.8","1,521","±827","0.8%","±0.4","246","±274","0.5%","±0.6","2,704","±892","2.2%","±0.7","252","±185","0.9%","±0.6","422","±346","0.6%","±0.5","2,266","±1,080","2.0%","±1.0","5,572","±1,348","2.1%","±0.5","187","±247","0.5%","±0.7","260","±267","0.6%","±0.6","271","±251","0.3%","±0.3","6,291","±1,495","1.7%","±0.4","923","±445","2.6%","±1.3","67","±85","0.2%","±0.2","981","±693","1.5%","±1.1","810","±483","1.1%","±0.6","4,359","±886","0.8%","±0.2","860","±500","0.8%","±0.4","1,177","±623","1.3%","±0.7","396","±259","0.5%","±0.4","376","±405","1.2%","±1.3","604","±469","1.6%","±1.2","1,946","±647","1.3%","±0.4","15,427","±1,914","1.9%","±0.2"
"        2 rooms","503","±351","1.0%","±0.7","827","±471","1.7%","±1.0","1,132","±421","1.5%","±0.5","933","±524","1.5%","±0.9","138","±135","0.4%","±0.4","1,229","±495","2.6%","±1.0","2,476","±977","1.3%","±0.5","1,517","±885","3.4%","±2.0","3,652","±1,045","2.9%","±0.8","703","±398","2.4%","±1.4","1,395","±600","2.0%","±0.9","2,892","±1,010","2.6%","±0.9","6,076","±1,475","2.3%","±0.6","209","±166","0.6%","±0.4","331","±285","0.8%","±0.6","601","±300","0.8%","±0.4","5,546","±1,414","1.5%","±0.4","1,416","±541","4.0%","±1.5","500","±446","1.3%","±1.2","599","±355","0.9%","±0.5","1,081","±594","1.5%","±0.8","7,470","±1,336","1.4%","±0.2","1,461","±596","1.3%","±0.5","1,181","±525","1.3%","±0.6","575","±270","0.8%","±0.4","306","±246","1.0%","±0.8","694","±505","1.8%","±1.3","3,935","±927","2.6%","±0.6","12,544","±1,942","1.5%","±0.2"
"        3 rooms","2,574","±824","5.0%","±1.6","2,443","±821","5.1%","±1.7","4,003","±931","5.1%","±1.2","3,398","±754","5.6%","±1.2","840","±498","2.6%","±1.5","2,465","±784","5.2%","±1.6","14,090","±1,901","7.3%","±1.0","4,281","±898","9.5%","±2.0","11,599","±1,877","9.3%","±1.5","3,032","±833","10.3%","±2.8","5,039","±1,325","7.2%","±1.9","13,137","±2,249","11.6%","±2.0","18,736","±2,631","7.2%","±1.0","1,697","±731","4.6%","±2.0","2,578","±692","5.9%","±1.6","2,675","±889","3.4%","±1.1","24,366","±2,977","6.6%","±0.8","3,333","±768","9.5%","±2.2","2,228","±630","6.0%","±1.7","2,920","±936","4.5%","±1.4","4,544","±1,170","6.1%","±1.6","40,409","±3,052","7.4%","±0.6","7,100","±1,428","6.3%","±1.3","4,453","±1,191","5.1%","±1.4","3,808","±946","5.2%","±1.3","1,511","±488","5.0%","±1.6","3,294","±960","8.8%","±2.5","17,675","±2,219","11.6%","±1.5","56,622","±3,479","6.9%","±0.4"
"        4 rooms","5,448","±1,002","10.5%","±1.9","6,893","±1,261","14.3%","±2.6","10,927","±1,774","14.0%","±2.3","9,964","±1,484","16.4%","±2.4","2,820","±651","8.8%","±2.0","8,146","±1,414","17.0%","±3.0","27,277","±2,626","14.1%","±1.4","7,122","±1,230","15.8%","±2.7","24,937","±2,344","20.1%","±1.9","5,046","±973","17.2%","±3.3","9,023","±1,643","12.9%","±2.4","18,264","±2,319","16.2%","±2.1","33,341","±2,533","12.9%","±1.0","4,530","±921","12.2%","±2.5","5,025","±1,027","11.4%","±2.3","6,851","±1,158","8.8%","±1.5","50,267","±3,789","13.6%","±1.0","5,837","±1,063","16.7%","±3.0","4,498","±878","12.1%","±2.4","6,654","±1,380","10.2%","±2.1","13,131","±1,987","17.6%","±2.7","68,956","±4,672","12.7%","±0.9","14,906","±2,005","13.3%","±1.8","12,080","±1,547","13.7%","±1.8","8,429","±1,416","11.6%","±2.0","2,841","±653","9.4%","±2.2","5,124","±1,080","13.6%","±2.9","24,940","±2,505","16.4%","±1.6","101,138","±5,110","12.4%","±0.6"
"        5 rooms","11,343","±1,691","21.8%","±3.3","10,629","±1,388","22.0%","±2.9","15,560","±1,595","20.0%","±2.0","12,491","±1,416","20.5%","±2.4","4,978","±960","15.5%","±3.0","8,004","±1,039","16.7%","±2.2","46,062","±3,302","23.9%","±1.7","8,399","±1,621","18.6%","±3.6","21,808","±2,081","17.5%","±1.7","5,866","±968","20.0%","±3.3","13,091","±1,731","18.8%","±2.5","18,729","±1,943","16.6%","±1.7","42,791","±3,160","16.5%","±1.2","7,906","±1,128","21.4%","±3.1","7,246","±1,097","16.5%","±2.5","11,569","±1,315","14.9%","±1.7","87,536","±4,337","23.7%","±1.2","7,349","±1,156","21.0%","±3.3","7,482","±1,362","20.1%","±3.7","11,027","±1,359","16.9%","±2.1","20,138","±1,875","27.0%","±2.5","91,221","±4,947","16.7%","±0.9","15,223","±1,933","13.6%","±1.7","17,825","±2,084","20.3%","±2.4","15,912","±1,658","21.9%","±2.3","6,703","±1,036","22.1%","±3.4","7,465","±1,006","19.9%","±2.7","23,645","±2,160","15.5%","±1.4","178,887","±6,109","21.9%","±0.7"
"        6 rooms","10,306","±1,320","19.8%","±2.5","9,851","±1,207","20.4%","±2.5","14,734","±1,815","18.9%","±2.3","13,492","±1,491","22.1%","±2.4","6,139","±850","19.1%","±2.6","8,200","±1,070","17.2%","±2.2","39,399","±2,835","20.4%","±1.5","6,270","±1,113","13.9%","±2.5","20,691","±2,052","16.6%","±1.7","4,880","±733","16.7%","±2.5","14,804","±1,738","21.2%","±2.5","18,417","±1,880","16.3%","±1.7","44,307","±3,546","17.1%","±1.4","7,689","±1,024","20.8%","±2.7","10,896","±1,542","24.8%","±3.5","14,011","±1,437","18.0%","±1.8","79,327","±3,672","21.5%","±1.0","5,623","±1,036","16.1%","±3.0","6,317","±974","17.0%","±2.6","14,199","±1,634","21.8%","±2.5","12,795","±1,805","17.2%","±2.4","97,793","±4,351","18.0%","±0.8","19,398","±2,233","17.3%","±2.0","17,393","±1,364","19.8%","±1.5","14,996","±1,585","20.7%","±2.2","6,012","±1,034","19.9%","±3.4","6,470","±930","17.2%","±2.5","20,684","±1,859","13.6%","±1.2","198,167","±6,265","24.3%","±0.8"
"        7 rooms","8,062","±1,378","15.5%","±2.7","7,026","±1,125","14.5%","±2.3","12,079","±1,595","15.5%","±2.1","8,900","±1,287","14.6%","±2.1","5,973","±930","18.6%","±2.9","6,054","±919","12.7%","±1.9","24,801","±2,240","12.9%","±1.2","5,982","±1,067","13.3%","±2.4","13,964","±1,677","11.2%","±1.3","3,562","±643","12.2%","±2.2","9,434","±1,471","13.5%","±2.1","12,363","±1,692","10.9%","±1.5","37,057","±2,848","14.3%","±1.1","5,164","±964","14.0%","±2.6","6,174","±990","14.0%","±2.3","10,935","±1,304","14.1%","±1.7","48,345","±3,068","13.1%","±0.8","4,278","±709","12.2%","±2.0","5,850","±968","15.7%","±2.6","10,594","±1,421","16.2%","±2.2","8,528","±1,379","11.4%","±1.8","67,375","±3,759","12.4%","±0.7","15,284","±1,938","13.6%","±1.7","14,482","±1,680","16.5%","±1.9","10,396","±1,269","14.3%","±1.7","5,391","±742","17.8%","±2.4","6,275","±1,094","16.7%","±2.9","17,686","±1,938","11.6%","±1.3","106,011","±4,866","13.0%","±0.6"
"        8 rooms","5,958","±1,169","11.5%","±2.2","5,302","±1,010","11.0%","±2.1","7,745","±1,231","9.9%","±1.6","4,929","±816","8.1%","±1.4","3,778","±698","11.7%","±2.2","5,089","±1,083","10.6%","±2.3","15,940","±1,810","8.3%","±0.9","5,445","±1,124","12.1%","±2.5","10,925","±1,461","8.8%","±1.2","2,426","±527","8.3%","±1.8","7,232","±1,145","10.4%","±1.6","9,625","±1,565","8.5%","±1.4","25,494","±1,846","9.8%","±0.7","4,203","±836","11.4%","±2.3","5,473","±933","12.4%","±2.1","11,717","±1,389","15.1%","±1.8","32,001","±2,269","8.7%","±0.6","2,458","±588","7.0%","±1.7","4,121","±736","11.1%","±2.0","8,300","±1,312","12.7%","±2.0","5,384","±1,021","7.2%","±1.4","61,146","±3,652","11.2%","±0.7","13,539","±1,652","12.1%","±1.5","9,461","±1,361","10.7%","±1.6","8,411","±963","11.6%","±1.3","3,147","±729","10.4%","±2.4","3,874","±868","10.3%","±2.3","17,064","±1,985","11.2%","±1.3","68,275","±3,906","8.4%","±0.5"
"        9 rooms or more","7,389","±1,064","14.2%","±2.1","4,886","±909","10.1%","±1.9","10,311","±1,187","13.2%","±1.5","6,487","±917","10.6%","±1.5","7,417","±971","23.1%","±3.0","7,997","±939","16.7%","±1.9","21,355","±2,025","11.1%","±1.0","5,857","±1,018","13.0%","±2.3","14,067","±1,577","11.3%","±1.3","3,537","±586","12.1%","±2.0","9,378","±1,358","13.4%","±1.9","17,369","±1,606","15.4%","±1.4","46,005","±3,173","17.7%","±1.2","5,395","±834","14.6%","±2.3","5,988","±780","13.6%","±1.8","19,104","±1,509","24.6%","±1.9","35,757","±1,966","9.7%","±0.5","3,750","±697","10.7%","±2.0","6,139","±1,072","16.5%","±2.9","9,982","±1,206","15.3%","±1.8","8,085","±971","10.9%","±1.3","105,953","±3,887","19.5%","±0.7","24,231","±2,049","21.6%","±1.8","9,969","±1,385","11.3%","±1.6","9,658","±1,105","13.3%","±1.5","3,982","±711","13.2%","±2.4","3,749","±786","10.0%","±2.1","24,697","±1,715","16.2%","±1.1","78,467","±2,952","9.6%","±0.4"
"        Median rooms","6.1","±0.2","(X)","(X)","5.8","±0.2","(X)","(X)","5.9","±0.1","(X)","(X)","5.7","±0.2","(X)","(X)","6.7","±0.2","(X)","(X)","5.9","±0.2","(X)","(X)","5.6","±0.1","(X)","(X)","5.7","±0.3","(X)","(X)","5.4","±0.1","(X)","(X)","5.5","±0.2","(X)","(X)","5.9","±0.1","(X)","(X)","5.6","±0.2","(X)","(X)","6.0","±0.1","(X)","(X)","6.0","±0.2","(X)","(X)","6.1","±0.1","(X)","(X)","6.8","±0.2","(X)","(X)","5.6","±0.2","(X)","(X)","5.3","±0.2","(X)","(X)","6.1","±0.2","(X)","(X)","6.2","±0.2","(X)","(X)","5.4","±0.1","(X)","(X)","6.1","±0.1","(X)","(X)","6.3","±0.2","(X)","(X)","5.9","±0.2","(X)","(X)","6.0","±0.2","(X)","(X)","6.1","±0.2","(X)","(X)","5.7","±0.3","(X)","(X)","5.7","±0.2","(X)","(X)","5.7","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","51,989","±252","51,989","(X)","48,365","±257","48,365","(X)","77,902","±508","77,902","(X)","60,915","±655","60,915","(X)","32,170","±204","32,170","(X)","47,812","±373","47,812","(X)","192,921","±566","192,921","(X)","45,119","±279","45,119","(X)","124,347","±723","124,347","(X)","29,304","±302","29,304","(X)","69,818","±514","69,818","(X)","113,062","±664","113,062","(X)","259,379","±628","259,379","(X)","36,980","±226","36,980","(X)","43,971","±325","43,971","(X)","77,734","±262","77,734","(X)","369,436","±459","369,436","(X)","34,967","±343","34,967","(X)","37,202","±252","37,202","(X)","65,256","±280","65,256","(X)","74,496","±535","74,496","(X)","544,682","±470","544,682","(X)","112,002","±571","112,002","(X)","88,021","±605","88,021","(X)","72,581","±420","72,581","(X)","30,269","±177","30,269","(X)","37,549","±330","37,549","(X)","152,272","±1,078","152,272","(X)","815,538","±893","815,538","(X)"
"        No bedroom","406","±396","0.8%","±0.8","563","±412","1.2%","±0.9","1,611","±812","2.1%","±1.0","409","±349","0.7%","±0.6","87","±137","0.3%","±0.4","628","±403","1.3%","±0.8","1,614","±832","0.8%","±0.4","246","±274","0.5%","±0.6","2,801","±896","2.3%","±0.7","340","±216","1.2%","±0.7","492","±353","0.7%","±0.5","2,670","±1,137","2.4%","±1.0","5,903","±1,347","2.3%","±0.5","230","±257","0.6%","±0.7","337","±287","0.8%","±0.7","420","±311","0.5%","±0.4","6,364","±1,518","1.7%","±0.4","934","±446","2.7%","±1.3","67","±85","0.2%","±0.2","1,112","±712","1.7%","±1.1","810","±483","1.1%","±0.6","5,141","±1,009","0.9%","±0.2","1,018","±519","0.9%","±0.5","1,223","±654","1.4%","±0.7","530","±284","0.7%","±0.4","376","±405","1.2%","±1.3","604","±469","1.6%","±1.2","2,287","±703","1.5%","±0.5","16,393","±1,886","2.0%","±0.2"
"        1 bedroom","2,433","±715","4.7%","±1.4","4,907","±1,228","10.1%","±2.5","5,670","±1,019","7.3%","±1.3","6,564","±1,148","10.8%","±1.9","1,271","±596","4.0%","±1.9","4,629","±1,064","9.7%","±2.2","15,615","±2,015","8.1%","±1.0","3,977","±1,228","8.8%","±2.7","15,123","±1,921","12.2%","±1.6","2,137","±538","7.3%","±1.8","7,551","±1,479","10.8%","±2.1","16,152","±1,921","14.3%","±1.7","23,945","±2,593","9.2%","±1.0","1,537","±474","4.2%","±1.3","3,085","±737","7.0%","±1.7","3,404","±1,004","4.4%","±1.3","27,441","±2,897","7.4%","±0.8","5,751","±1,051","16.4%","±3.0","2,808","±842","7.5%","±2.3","4,667","±1,043","7.2%","±1.6","5,400","±1,178","7.2%","±1.6","50,644","±3,508","9.3%","±0.6","5,875","±1,163","5.2%","±1.0","6,878","±1,402","7.8%","±1.6","4,869","±898","6.7%","±1.2","2,167","±519","7.2%","±1.7","3,265","±1,062","8.7%","±2.8","18,618","±2,067","12.2%","±1.4","80,738","±3,452","9.9%","±0.4"
