"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"8199","251","1400000US26027001800","Census Tract 18, Cass County, Michigan"
"5261","286","1400000US26027001900","Census Tract 19, Cass County, Michigan"
"4299","292","1400000US26027002000","Census Tract 20, Cass County, Michigan"
"5573","195","1400000US26027002100","Census Tract 21, Cass County, Michigan"
"5883","353","1400000US26027002200","Census Tract 22, Cass County, Michigan"
"1848","123","1400000US26029000100","Census Tract 1, Charlevoix County, Michigan"
"1248","117","1400000US26029000200","Census Tract 2, Charlevoix County, Michigan"
"2347","133","1400000US26029000300","Census Tract 3, Charlevoix County, Michigan"
"2677","170","1400000US26029000400","Census Tract 4, Charlevoix County, Michigan"
"562","62","1400000US26029000500","Census Tract 5, Charlevoix County, Michigan"
"2894","127","1400000US26029000800","Census Tract 8, Charlevoix County, Michigan"
"1894","114","1400000US26029000900","Census Tract 9, Charlevoix County, Michigan"
"2460","190","1400000US26029001000","Census Tract 10, Charlevoix County, Michigan"
"1904","181","1400000US26029001100","Census Tract 11, Charlevoix County, Michigan"
"3133","191","1400000US26029001200","Census Tract 12, Charlevoix County, Michigan"
"1523","137","1400000US26029001300","Census Tract 13, Charlevoix County, Michigan"
"1242","120","1400000US26029001400","Census Tract 14, Charlevoix County, Michigan"
"2487","234","1400000US26029001500","Census Tract 15, Charlevoix County, Michigan"
"0","10","1400000US26029990000","Census Tract 9900, Charlevoix County, Michigan"
"2888","187","1400000US26031960100","Census Tract 9601, Cheboygan County, Michigan"
"2792","223","1400000US26031960200","Census Tract 9602, Cheboygan County, Michigan"
"4555","268","1400000US26031960300","Census Tract 9603, Cheboygan County, Michigan"
"3777","266","1400000US26031960400","Census Tract 9604, Cheboygan County, Michigan"
"2408","178","1400000US26031960500","Census Tract 9605, Cheboygan County, Michigan"
"2388","201","1400000US26031960600","Census Tract 9606, Cheboygan County, Michigan"
"3123","202","1400000US26031960700","Census Tract 9607, Cheboygan County, Michigan"
"3527","218","1400000US26031960800","Census Tract 9608, Cheboygan County, Michigan"
"0","10","1400000US26031990000","Census Tract 9900, Cheboygan County, Michigan"
"3242","253","1400000US26033970100","Census Tract 9701, Chippewa County, Michigan"
"3449","313","1400000US26033970200","Census Tract 9702, Chippewa County, Michigan"
"4200","329","1400000US26033970300","Census Tract 9703, Chippewa County, Michigan"
"2425","281","1400000US26033970400","Census Tract 9704, Chippewa County, Michigan"
"3638","295","1400000US26033970500","Census Tract 9705, Chippewa County, Michigan"
"4921","249","1400000US26033970600","Census Tract 9706, Chippewa County, Michigan"
"1099","179","1400000US26033970700","Census Tract 9707, Chippewa County, Michigan"
"4205","283","1400000US26033970800","Census Tract 9708, Chippewa County, Michigan"
"4687","385","1400000US26033970900","Census Tract 9709, Chippewa County, Michigan"
"2764","222","1400000US26033971000","Census Tract 9710, Chippewa County, Michigan"
"1560","128","1400000US26033971100","Census Tract 9711, Chippewa County, Michigan"
"0","10","1400000US26033980100","Census Tract 9801, Chippewa County, Michigan"
"1467","467","1400000US26033980200","Census Tract 9802, Chippewa County, Michigan"
"177","96","1400000US26033980300","Census Tract 9803, Chippewa County, Michigan"
"0","10","1400000US26033990000","Census Tract 9900, Chippewa County, Michigan"
"0","10","1400000US26033990100","Census Tract 9901, Chippewa County, Michigan"
"1664","124","1400000US26035000100","Census Tract 1, Clare County, Michigan"
"1177","110","1400000US26035000200","Census Tract 2, Clare County, Michigan"
"2428","272","1400000US26035000300","Census Tract 3, Clare County, Michigan"
"3685","318","1400000US26035000400","Census Tract 4, Clare County, Michigan"
"1534","160","1400000US26035000500","Census Tract 5, Clare County, Michigan"
"3666","191","1400000US26035000600","Census Tract 6, Clare County, Michigan"
"3246","280","1400000US26035000700","Census Tract 7, Clare County, Michigan"
"4403","271","1400000US26035000800","Census Tract 8, Clare County, Michigan"
"1901","222","1400000US26035000900","Census Tract 9, Clare County, Michigan"
"3077","287","1400000US26035001000","Census Tract 10, Clare County, Michigan"
"3835","275","1400000US26035001300","Census Tract 13, Clare County, Michigan"
"3402","206","1400000US26037010104","Census Tract 101.04, Clinton County, Michigan"
"3759","240","1400000US26037010105","Census Tract 101.05, Clinton County, Michigan"
"3972","195","1400000US26037010107","Census Tract 101.07, Clinton County, Michigan"
"4129","216","1400000US26037010108","Census Tract 101.08, Clinton County, Michigan"
"2225","153","1400000US26037010201","Census Tract 102.01, Clinton County, Michigan"
"1403","197","1400000US26037010203","Census Tract 102.03, Clinton County, Michigan"
"1787","120","1400000US26037010204","Census Tract 102.04, Clinton County, Michigan"
"5257","27","1400000US26037010300","Census Tract 103, Clinton County, Michigan"
"5216","214","1400000US26037010400","Census Tract 104, Clinton County, Michigan"
"3802","154","1400000US26037010500","Census Tract 105, Clinton County, Michigan"
"2494","134","1400000US26037010600","Census Tract 106, Clinton County, Michigan"
"2072","112","1400000US26037010701","Census Tract 107.01, Clinton County, Michigan"
"2502","133","1400000US26037010702","Census Tract 107.02, Clinton County, Michigan"
"4050","230","1400000US26037010801","Census Tract 108.01, Clinton County, Michigan"
"3853","221","1400000US26037010802","Census Tract 108.02, Clinton County, Michigan"
"2902","189","1400000US26037010901","Census Tract 109.01, Clinton County, Michigan"
"4479","195","1400000US26037010902","Census Tract 109.02, Clinton County, Michigan"
"3857","199","1400000US26037011001","Census Tract 110.01, Clinton County, Michigan"
"3498","20","1400000US26037011002","Census Tract 110.02, Clinton County, Michigan"
"4648","270","1400000US26037011101","Census Tract 111.01, Clinton County, Michigan"
"6336","318","1400000US26037011104","Census Tract 111.04, Clinton County, Michigan"
"2253","296","1400000US26037011200","Census Tract 112, Clinton County, Michigan"
"2249","154","1400000US26039960100","Census Tract 9601, Crawford County, Michigan"
"3526","232","1400000US26039960200","Census Tract 9602, Crawford County, Michigan"
"3616","236","1400000US26039960300","Census Tract 9603, Crawford County, Michigan"
"2179","154","1400000US26039960400","Census Tract 9604, Crawford County, Michigan"
"2266","163","1400000US26039960500","Census Tract 9605, Crawford County, Michigan"
"1653","124","1400000US26041970100","Census Tract 9701, Delta County, Michigan"
"2250","176","1400000US26041970200","Census Tract 9702, Delta County, Michigan"
"2367","150","1400000US26041970300","Census Tract 9703, Delta County, Michigan"
"5451","306","1400000US26041970400","Census Tract 9704, Delta County, Michigan"
"4154","278","1400000US26041970500","Census Tract 9705, Delta County, Michigan"
"4058","213","1400000US26041970600","Census Tract 9706, Delta County, Michigan"
"3660","187","1400000US26041970700","Census Tract 9707, Delta County, Michigan"
"4135","336","1400000US26041970800","Census Tract 9708, Delta County, Michigan"
"2695","208","1400000US26041970900","Census Tract 9709, Delta County, Michigan"
"2594","227","1400000US26041971000","Census Tract 9710, Delta County, Michigan"
"3173","261","1400000US26041971100","Census Tract 9711, Delta County, Michigan"
"0","10","1400000US26041990000","Census Tract 9900, Delta County, Michigan"
"0","10","1400000US26041990100","Census Tract 9901, Delta County, Michigan"
"1639","139","1400000US26043950100","Census Tract 9501, Dickinson County, Michigan"
"4429","305","1400000US26043950200","Census Tract 9502, Dickinson County, Michigan"
"4581","300","1400000US26043950300","Census Tract 9503, Dickinson County, Michigan"
"4184","327","1400000US26043950400","Census Tract 9504, Dickinson County, Michigan"
"2724","258","1400000US26043950500","Census Tract 9505, Dickinson County, Michigan"
"4598","301","1400000US26043950600","Census Tract 9506, Dickinson County, Michigan"
"3415","230","1400000US26043950700","Census Tract 9507, Dickinson County, Michigan"
"2926","213","1400000US26045020101","Census Tract 201.01, Eaton County, Michigan"
"3244","239","1400000US26045020102","Census Tract 201.02, Eaton County, Michigan"
"4337","347","1400000US26045020103","Census Tract 201.03, Eaton County, Michigan"
"3926","359","1400000US26045020104","Census Tract 201.04, Eaton County, Michigan"
"2752","217","1400000US26045020201","Census Tract 202.01, Eaton County, Michigan"
"4975","333","1400000US26045020202","Census Tract 202.02, Eaton County, Michigan"
"6302","371","1400000US26045020302","Census Tract 203.02, Eaton County, Michigan"
"3419","262","1400000US26045020303","Census Tract 203.03, Eaton County, Michigan"
"4943","355","1400000US26045020304","Census Tract 203.04, Eaton County, Michigan"
"2895","164","1400000US26045020402","Census Tract 204.02, Eaton County, Michigan"
"2712","168","1400000US26045020403","Census Tract 204.03, Eaton County, Michigan"
"4356","208","1400000US26045020404","Census Tract 204.04, Eaton County, Michigan"
"3520","204","1400000US26045020500","Census Tract 205, Eaton County, Michigan"
"3860","138","1400000US26045020601","Census Tract 206.01, Eaton County, Michigan"
"3416","166","1400000US26045020602","Census Tract 206.02, Eaton County, Michigan"
"4000","179","1400000US26045020700","Census Tract 207, Eaton County, Michigan"
"5152","230","1400000US26045020800","Census Tract 208, Eaton County, Michigan"
"3044","311","1400000US26045020901","Census Tract 209.01, Eaton County, Michigan"
"4146","322","1400000US26045020902","Census Tract 209.02, Eaton County, Michigan"
"4897","348","1400000US26045021001","Census Tract 210.01, Eaton County, Michigan"
"3998","226","1400000US26045021002","Census Tract 210.02, Eaton County, Michigan"
"5626","232","1400000US26045021100","Census Tract 211, Eaton County, Michigan"
"2944","231","1400000US26045021201","Census Tract 212.01, Eaton County, Michigan"
"3562","204","1400000US26045021202","Census Tract 212.02, Eaton County, Michigan"
"2920","219","1400000US26045021301","Census Tract 213.01, Eaton County, Michigan"
"3332","205","1400000US26045021302","Census Tract 213.02, Eaton County, Michigan"
"3513","346","1400000US26045021401","Census Tract 214.01, Eaton County, Michigan"
"4438","241","1400000US26045021402","Census Tract 214.02, Eaton County, Michigan"
"2172","128","1400000US26047970100","Census Tract 9701, Emmet County, Michigan"
"5720","221","1400000US26047970200","Census Tract 9702, Emmet County, Michigan"
"4285","196","1400000US26047970300","Census Tract 9703, Emmet County, Michigan"
"2771","170","1400000US26047970400","Census Tract 9704, Emmet County, Michigan"
"4578","261","1400000US26047970500","Census Tract 9705, Emmet County, Michigan"
"5674","287","1400000US26047970600","Census Tract 9706, Emmet County, Michigan"
"3740","279","1400000US26047970700","Census Tract 9707, Emmet County, Michigan"
"4099","311","1400000US26047970800","Census Tract 9708, Emmet County, Michigan"
"0","10","1400000US26047990000","Census Tract 9900, Emmet County, Michigan"
"2417","317","1400000US26049000100","Census Tract 1, Genesee County, Michigan"
"1442","151","1400000US26049000200","Census Tract 2, Genesee County, Michigan"
"2327","333","1400000US26049000300","Census Tract 3, Genesee County, Michigan"
"1369","230","1400000US26049000400","Census Tract 4, Genesee County, Michigan"
"1848","364","1400000US26049000500","Census Tract 5, Genesee County, Michigan"
"1842","566","1400000US26049000600","Census Tract 6, Genesee County, Michigan"
"2138","269","1400000US26049000700","Census Tract 7, Genesee County, Michigan"
"891","129","1400000US26049000800","Census Tract 8, Genesee County, Michigan"
"2635","412","1400000US26049000900","Census Tract 9, Genesee County, Michigan"
"1996","338","1400000US26049001000","Census Tract 10, Genesee County, Michigan"
"1490","266","1400000US26049001100","Census Tract 11, Genesee County, Michigan"
"3484","499","1400000US26049001200","Census Tract 12, Genesee County, Michigan"
"2701","289","1400000US26049001300","Census Tract 13, Genesee County, Michigan"
"1326","200","1400000US26049001400","Census Tract 14, Genesee County, Michigan"
"1331","296","1400000US26049001500","Census Tract 15, Genesee County, Michigan"
"4656","741","1400000US26049001600","Census Tract 16, Genesee County, Michigan"
"1492","280","1400000US26049001700","Census Tract 17, Genesee County, Michigan"
"2004","269","1400000US26049001800","Census Tract 18, Genesee County, Michigan"
"2828","341","1400000US26049001900","Census Tract 19, Genesee County, Michigan"
"925","121","1400000US26049002000","Census Tract 20, Genesee County, Michigan"
"1942","340","1400000US26049002200","Census Tract 22, Genesee County, Michigan"
"1748","260","1400000US26049002300","Census Tract 23, Genesee County, Michigan"
"3216","280","1400000US26049002400","Census Tract 24, Genesee County, Michigan"
"2787","404","1400000US26049002600","Census Tract 26, Genesee County, Michigan"
"3695","474","1400000US26049002700","Census Tract 27, Genesee County, Michigan"
"2752","308","1400000US26049002800","Census Tract 28, Genesee County, Michigan"
"2095","254","1400000US26049002900","Census Tract 29, Genesee County, Michigan"
"4089","540","1400000US26049003000","Census Tract 30, Genesee County, Michigan"
"2260","265","1400000US26049003100","Census Tract 31, Genesee County, Michigan"
