,GEOID20,VTD,COUNTY_FIPS,total_pop,total_pop_log,turnout2018_registered,2020_vote_share_diff,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_pct_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_owner_occupied_house,total2020_voted,turnout2020_registered
47,26045045027,45027,45,1836,7.515344571,0.906070714,301.4,0.941176471,0.058823529,0.002723312,0.919389978,0.004357298,0.001089325,0.008714597,0,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1227,0.818545697
48,26045045041,45041,45,1517,7.324489979,0.510917031,106,0.947923533,0.052076467,0.006591958,0.813447594,0.11404087,0.007910349,0.006591958,0,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,426,0.620087336
49,26045045051,45051,45,1873,7.535296702,0.768595041,114,0.924185798,0.075814202,0.00373732,0.831286706,0.043246129,0.005339028,0.018152696,0,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1321,0.839796567
50,26049049027,49027,49,1606,7.381501895,0.525393082,19.1,0.936488169,0.063511831,0.00124533,0.879825654,0.037982565,0.00622665,0.004358655,0.00124533,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,918,0.721698113
51,26049049035,49035,49,1877,7.537430037,0.6,349,0.930207778,0.069792222,0.00213106,0.901971231,0.014384656,0.002663825,0.00426212,0,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,1232,0.81320132
52,26049049067,49067,49,856,6.752270376,0.234615385,32,0.871495327,0.128504673,0.005841121,0.63317757,0.156542056,0.004672897,0.005841121,0,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,246,0.315384615
53,26049049070,49070,49,2491,7.820439515,0.419886364,235,0.927338418,0.072661582,0.004817342,0.681252509,0.211561622,0.003613007,0.005218788,0,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,940,0.534090909
54,26001001002,1002,1,1032,6.939253946,0.588783069,252.7,0.974806202,0.025193798,0.001937984,0.971899225,0.000968992,0,0.000968992,0,0.010784135,-0.001062494,0.169666568,0.4286,0.393486624,759,0.803174603
55,26001001008,1008,1,1076,6.981005741,0.537044534,301.7,0.976765799,0.023234201,0.000929368,0.967472119,0,0.007434944,0.000929368,0,0.010784135,-0.001062494,0.169666568,0.4286,0.393486624,759,0.768218623
56,26005005027,5027,5,4489,8.409385239,0.655735446,1274.6,0.939630207,0.060369793,0.004009802,0.904433059,0.008687904,0.007128536,0.005123636,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,2339,0.805718223
57,26005005014,5014,5,2574,7.853216388,0.57405877,52.7,0.912975913,0.087024087,0.004662005,0.828671329,0.006216006,0.001942502,0.002331002,0.001165501,0.355324573,0.004376983,0.100803306,0.403,0.707474025,1673,0.768135904
58,26015015012,15012,15,3734,8.225235324,0.508884758,839.4,0.959560793,0.040439207,0.001874665,0.935457954,0.003481521,0.00401714,0.001874665,0.000535619,0.228719179,0.008592593,0.099674799,0.4094,0.71237163,2084,0.77472119
59,26017017014,17014,17,3531,8.169336396,0.533409698,83,0.911922968,0.088077032,0.001982441,0.861512319,0.022090059,0.008212971,0.005097706,0,0.696885062,-0.006572887,0.082633647,0.4349,0.697532785,1804,0.688812524
60,26017017041,17041,17,2299,7.740229525,0.700054705,555.1,0.940408873,0.059591127,0.003914746,0.919530231,0.003914746,0.008264463,0.002174859,0,0.696885062,-0.006572887,0.082633647,0.4349,0.697532785,1384,0.757111597
61,26017017043,17043,17,1814,7.503289631,0.62992126,147,0.94432194,0.05567806,0.000551268,0.929988975,0.004410143,0.00275634,0,0.000551268,0.696885062,-0.006572887,0.082633647,0.4349,0.697532785,1142,0.749343832
62,26021021009,21009,21,1543,7.341483852,0.554920635,846.3,0.945560596,0.054439404,0.005832793,0.088788075,0.821127673,0.001944264,0.003240441,0.001944264,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,463,0.367460317
63,26021021049,21049,21,2451,7.804251384,0.7096486,339.6,0.929824561,0.070175439,0.00244798,0.831497348,0.029783762,0.006527948,0.048551612,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,1421,0.846337105
64,26021021058,21058,21,1995,7.598399329,0.596048632,363.9,0.937844612,0.062155388,0.004010025,0.825062657,0.05914787,0.00802005,0.005012531,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,1109,0.674164134
65,26021021055,21055,21,2055,7.628031127,0.683684864,111.9,0.959124088,0.040875912,0,0.854987835,0.022871046,0.001459854,0.067153285,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,1352,0.838709677
66,26021021062,21062,21,1832,7.513163545,0.541984733,359,0.947598253,0.052401747,0.004366812,0.926855895,0.006004367,0.006004367,0.002183406,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,981,0.680777238
67,26025025001,25001,25,1327,7.190676034,0.491285403,354,0.917106255,0.082893745,0.003767898,0.364732479,0.532780708,0.002260739,0,0,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,530,0.577342048
68,26025025028,25028,25,3990,8.29154651,0.447179909,133.1,0.907769424,0.092230576,0.005764411,0.641854637,0.202255639,0.007769424,0.036340852,0,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,1466,0.603540552
69,26025025039,25039,25,2634,7.876258882,0.366966173,214.1,0.925588459,0.074411541,0.003416856,0.859149582,0.050493546,0.003037206,0.003037206,0,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,1003,0.53012685
70,26025025050,25050,25,3414,8.135639903,0.633953304,73.2,0.941710603,0.058289397,0.001171646,0.903925015,0.012888108,0.00380785,0.009666081,0,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,1894,0.749505342
71,26027027013,27013,27,1602,7.379008128,0.521520068,414.9,0.959425718,0.040574282,0,0.925093633,0.013732834,0.007490637,0.004993758,0,0.288183887,0.005208141,0.12725581,0.4544,0.625717566,819,0.69940222
72,26033033001,33001,33,1567,7.356918242,0.591079014,215.6,0.911295469,0.088704531,0.005105297,0.420548819,0.002552648,0.486917677,0.001276324,0,0.510617861,-0.011960398,0.153133071,0.4752,0.439462366,478,0.406117247
73,26037037033,37033,37,3089,8.035602693,0.642561983,23,0.925865976,0.074134024,0.002266106,0.865004856,0.019747491,0.002589835,0.021042409,0.000647459,0.470735719,0.003051032,0.131856327,0.4193,0.751846795,2074,0.857024793
74,26043043007,43007,43,2750,7.919356191,0.419058196,250.2,0.947272727,0.052727273,0.001818182,0.921454545,0.001818182,0.006181818,0.012,0.000727273,0.672347906,-0.005149573,0.066096273,0.4356,0.612508884,1408,0.625499778
75,26045045013,45013,45,2511,7.828436359,0.776446066,343,0.932297889,0.067702111,0.003982477,0.790919952,0.069693349,0.004778973,0.039824771,0.000398248,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1655,0.862428348
76,26045045023,45023,45,1991,7.596392304,0.724770642,450,0.919136113,0.080863887,0.009542943,0.64640884,0.173782019,0.003515821,0.073329985,0,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1401,0.856880734
77,26045045028,45028,45,1624,7.392647521,0.470666667,89.1,0.931034483,0.068965517,0,0.906403941,0.008004926,0.002463054,0.001231527,0,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,733,0.610833333
78,26047047012,47012,47,1294,7.165493475,0.485,252,0.922720247,0.077279753,0.003863988,0.853941267,0.005409583,0.055641422,0.003863988,0.000772798,0.251116413,0.004236555,0.118316135,0.4656,0.473684211,641,0.641
79,26049049017,49017,49,3494,8.158802491,0.509866962,42.7,0.919576417,0.080423583,0.00171723,0.812535776,0.083858042,0.005437894,0.004579279,0,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,1794,0.662971175
80,26049049044,49044,49,3041,8.019941688,0.71793131,503.2,0.947056889,0.052943111,0.002959553,0.925024663,0.00427491,0.004603749,0.004932588,0,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,2007,0.801517572
81,26005005039,5039,5,873,6.771935556,0.740821566,206.7,0.962199313,0.037800687,0.003436426,0.931271478,0.009163803,0,0.005727377,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,661,0.848523748
82,26009009011,9011,9,3638,8.199189359,0.291637631,559,0.929631666,0.070368334,0.002748763,0.916987356,0.003023639,0.003573392,0.00219901,0,0,-0.012295082,0.119969271,0.4561,0.497459686,1592,0.554703833
83,26011011006,11006,11,2050,7.625595072,0.569545455,375.2,0.960487805,0.039512195,0.004390244,0.94195122,0.003414634,0.006341463,0.00195122,0,0,-0.006303915,0.141314491,0.4168,0.560878853,1085,0.704545455
84,26015015008,15008,15,1822,7.507690078,0.536685903,157,0.933040615,0.066959385,0.004390779,0.91053787,0.002744237,0.006037322,0.002744237,0,0.228719179,0.008592593,0.099674799,0.4094,0.71237163,802,0.661170651
85,26017017012,17012,17,3733,8.224967479,0.583392477,144,0.923386017,0.076613983,0.004553978,0.872488615,0.016608626,0.00508974,0.004553978,0.000267881,0.696885062,-0.006572887,0.082633647,0.4349,0.697532785,2081,0.738466998
86,26021021007,21007,21,3023,8.014004995,0.337787056,311,0.929209395,0.070790605,0.006285147,0.429043996,0.434336752,0.009923917,0.002977175,0.000661594,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,1158,0.483507307
87,26021021023,21023,21,2244,7.716015267,0.511351351,426.6,0.908645276,0.091354724,0.004010695,0.860962567,0.014705882,0.010249554,0.008467023,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,1095,0.657657658
88,26021021021,21021,21,1465,7.289610521,0.526265521,237.4,0.917406143,0.082593857,0.002730375,0.858020478,0.018430034,0.007508532,0.000682594,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,711,0.679083095
89,26021021037,21037,21,3082,8.033334016,0.394961763,53,0.903634004,0.096365996,0.008760545,0.767034393,0.08890331,0.007787151,0.009733939,0.000324465,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,1217,0.54745839
90,26023023002,23002,23,1323,7.187657164,0.443015075,281.2,0.943310658,0.056689342,0.000755858,0.890400605,0.003779289,0.003779289,0,0.001511716,0.372966761,-0.006160546,0.101332977,0.4143,0.588801768,678,0.681407035
91,26023023004,23004,23,2307,7.743703258,0.425940138,342,0.897702644,0.102297356,0.002167317,0.77893368,0.004334634,0.011270048,0.008669267,0,0.372966761,-0.006160546,0.101332977,0.4143,0.588801768,802,0.615502686
92,26025025013,25013,25,2115,7.656810091,0.2913273,179.3,0.869503546,0.130496454,0.004728132,0.425531915,0.305910165,0.01607565,0.005200946,0,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,542,0.408748115
93,26025025038,25038,25,1298,7.168579897,0.64884696,429,0.973805855,0.026194145,0.000770416,0.961479199,0.005392912,0.000770416,0,0,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,798,0.836477987
94,26029029003,29003,29,1425,7.261927093,0.602336029,208.1,0.957192982,0.042807018,0.000701754,0.936140351,0.002105263,0.009122807,0.002807018,0,0.295965162,-0.001183748,0.113072849,0.464,0.524503687,814,0.731356694
95,26029029010,29010,29,767,6.642486801,0.689252336,86.7,0.942633638,0.057366362,0.001303781,0.911342894,0.003911343,0.002607562,0.006518905,0.002607562,0.295965162,-0.001183748,0.113072849,0.464,0.524503687,523,0.814641745
96,26033033002,33002,33,2000,7.60090246,0.68310992,509.1,0.9345,0.0655,0.0035,0.83,0.0005,0.096,0.0035,0,0.510617861,-0.011960398,0.153133071,0.4752,0.439462366,525,0.351876676
97,26033033013,33013,33,3839,8.252967195,0.537925926,216.1,0.886949726,0.113050274,0.004428237,0.615264392,0.005991144,0.25345142,0.006251628,0.001302423,0.510617861,-0.011960398,0.153133071,0.4752,0.439462366,1861,0.689259259
98,26037037010,37010,37,2684,7.895063498,0.752908587,224,0.947839046,0.052160954,0.001490313,0.898658718,0.015275708,0.005216095,0.01266766,0.000745156,0.470735719,0.003051032,0.131856327,0.4193,0.751846795,1892,0.873499538
99,26037037012,37012,37,1972,7.586803535,0.681237113,74,0.914300203,0.085699797,0.001014199,0.871703854,0.011156187,0.001521298,0.017241379,0.000507099,0.470735719,0.003051032,0.131856327,0.4193,0.751846795,1264,0.868728522
100,26037037013,37013,37,2522,7.832807517,0.701078582,133,0.931403648,0.068596352,0.004361618,0.858445678,0.035685964,0.003965107,0.01704996,0,0.470735719,0.003051032,0.131856327,0.4193,0.751846795,1656,0.850539291
101,26041041007,41007,41,3104,8.040446881,0.361684783,126.9,0.932345361,0.067654639,0.005798969,0.881121134,0.004510309,0.03253866,0.008698454,0,0.562464593,-0.004552268,0.078015338,0.4362,0.622788915,1384,0.626811594
102,26041041021,41021,41,468,6.148468296,0.590990991,136.7,0.929487179,0.070512821,0,0.886752137,0,0.038461538,0.004273504,0,0.562464593,-0.004552268,0.078015338,0.4362,0.622788915,336,0.756756757
103,26043043003,43003,43,1451,7.280008253,0.609934853,393,0.956581668,0.043418332,0.00068918,0.948311509,0,0.00068918,0.00275672,0,0.672347906,-0.005149573,0.066096273,0.4356,0.612508884,976,0.794788274
104,26047047013,47013,47,1295,7.166265974,0.662447257,225,0.950579151,0.049420849,0.000772201,0.908108108,0.001544402,0.034749035,0.002316602,0.000772201,0.251116413,0.004236555,0.118316135,0.4656,0.473684211,730,0.770042194
105,26049049004,49004,49,2395,7.78113851,0.659936238,392,0.951565762,0.048434238,0.000835073,0.912734864,0.010020877,0.002505219,0.012943633,0,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,1592,0.845908608
106,26049049048,49048,49,2782,7.930925372,0.550060852,443.5,0.953989935,0.046010065,0.001797268,0.933860532,0.005032351,0.002156722,0.009705248,0.001078361,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,2035,0.825557809
107,26001001009,1009,1,653,6.481577129,0.799032882,198.1,0.973966309,0.026033691,0,0.964777948,0,0.001531394,0,0,0.010784135,-0.001062494,0.169666568,0.4286,0.393486624,414,0.800773694
108,26005005002,5002,5,1557,7.350516172,0.874721508,74.3,0.938342967,0.061657033,0.003211304,0.875401413,0.035966602,0.004495825,0.009633911,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,742,0.635818338
109,26015015006,15006,15,3329,8.110427238,0.489547782,586.5,0.943526585,0.056473415,0.001201562,0.924902373,0.003604686,0.004806248,0.001501953,0,0.228719179,0.008592593,0.099674799,0.4094,0.71237163,1452,0.619453925
110,26019019002,19002,19,2734,7.913521017,0.645609548,24.1,0.955376737,0.044623263,0.005120702,0.908558888,0.00658376,0.025969276,0.004754938,0,0,-0.024563155,0.114190317,0.4119,0.397534494,1844,0.786018755
111,26019019011,19011,19,694,6.542471961,0.755495979,12.8,0.959654179,0.040345821,0.002881844,0.946685879,0.001440922,0.001440922,0.005763689,0,0,-0.024563155,0.114190317,0.4119,0.397534494,682,0.914209115
112,26021021041,21041,21,1909,7.554334824,0.496771654,117.2,0.919853326,0.080146674,0.004190676,0.834468308,0.050288109,0.005762179,0.005238345,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,761,0.599212598
113,26027027008,27008,27,2590,7.859413155,0.523823675,479.9,0.941312741,0.058687259,0.003088803,0.882625483,0.037837838,0.003861004,0.009266409,0.0003861,0.288183887,0.005208141,0.12725581,0.4544,0.625717566,1409,0.697870233
114,26033033014,33014,33,4665,8.447843113,0.566288619,202,0.901822079,0.098177921,0.00471597,0.729903537,0.010718114,0.141264737,0.010075027,0,0.510617861,-0.011960398,0.153133071,0.4752,0.439462366,1749,0.684004693
115,26045045046,45046,45,2050,7.625595072,0.629139505,458.8,0.956585366,0.043414634,0.001463415,0.934146341,0.005365854,0.00097561,0.001463415,0.00097561,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1151,0.750325945
116,26047047009,47009,47,1274,7.149916836,0.659000943,11.2,0.970957614,0.029042386,0.000784929,0.905023548,0.007849294,0.040816327,0.01177394,0,0.251116413,0.004236555,0.118316135,0.4656,0.473684211,852,0.803016023
117,26049049007,49007,49,2022,7.6118424,0.681149264,200.8,0.941147379,0.058852621,0.003461919,0.918397626,0.012363996,0.002967359,0,0.00049456,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,1210,0.847932726
118,26049049106,49106,49,2839,7.951207156,0.37428023,375,0.913349771,0.086650229,0.008101444,0.599154632,0.274744628,0.010919338,0.005283551,0.000352237,0.83244792,-0.004608799,0.081676764,0.4629,0.603207137,1057,0.507197697
